,Beta,Gamma,t,min(S),max(I)
470,0.05,0.4,0.641486466875198,12891,1
471,0.05,0.45,0.33869980718964243,12883,1
472,0.05,0.5,1.6486257780973623,12859,3
473,0.05,0.55,3.592344854104303,12946,2
474,0.05,0.6,37.793933843173654,4652,1503
475,0.05,0.65,1.3995755034854471,12854,3
476,0.05,0.7,44.32778984392903,5697,974
477,0.05,0.75,0.11553328984144308,12854,1
478,0.05,0.8,43.305964571638185,7051,711
479,0.05,0.85,0.013015093332574777,12950,1
480,0.05,0.9,0.9547359903935064,12784,1
481,0.05,0.95,10.12351238524215,12758,6
482,0.05,1.0,48.95994235859347,9797,186
483,0.1,0.01,910.4147363827146,0,12347
484,0.1,0.05,202.3180579210844,6,10973
485,0.1,0.1,116.82788527258772,13,9968
486,0.1,0.15,79.65761100579489,51,8854
487,0.1,0.2,0.16718778098935252,12844,1
488,0.1,0.25,2.2007397250527503,12817,2
489,0.1,0.3,39.894180671416095,216,6932
490,0.1,0.35,33.405267138035285,217,6731
491,0.1,0.4,28.20503821917293,415,5897
492,0.1,0.45,2.550894317493697,12914,2
493,0.1,0.5,25.056889945833262,620,5205
494,0.1,0.55,25.80035258335227,947,4416
495,0.1,0.6,23.49734312590354,1199,4207
496,0.1,0.65,23.707019598267244,1419,3804
497,0.1,0.7,21.755423092889746,1692,3469
498,0.1,0.75,24.569089751963247,2073,3036
499,0.1,0.8,4.504313975813217,12996,5
500,0.1,0.85,0.2123951189013188,12950,1
501,0.1,0.9,22.677943939819173,3664,2022
502,0.1,0.95,22.047206111749986,2533,2517
503,0.1,1.0,19.5492061123529,2984,2247
504,0.15,0.01,957.8275087568852,0,12521
505,0.15,0.05,168.98147527394391,0,11690
506,0.15,0.1,118.53655883997288,2,10932
507,0.15,0.15,82.20705276708385,18,9711
508,0.15,0.2,54.25596600206667,22,9218
509,0.15,0.25,42.501178020272384,20,9263
510,0.15,0.3,35.684865699763336,81,8186
511,0.15,0.35,33.421575398746704,52,8181
512,0.15,0.4,30.376805062918983,177,7042
513,0.15,0.45,25.522933218683267,170,7053
514,0.15,0.5,23.582920297606826,314,6397
515,0.15,0.55,21.62273314706811,231,6480
516,0.15,0.6,24.588580214642576,654,5478
517,0.15,0.65,20.10489050311989,306,6159
518,0.15,0.7,0.5606649015894477,12877,1
519,0.15,0.75,17.555820320399466,465,5635
520,0.15,0.8,17.270809697320832,625,5075
521,0.15,0.85,18.493554163611734,841,4833
522,0.15,0.9,0.18392009351330732,12834,1
523,0.15,0.95,14.60569143554668,1684,3592
524,0.15,1.0,13.2441603523672,1057,4145
525,0.2,0.01,983.3039634624904,0,12493
526,0.2,0.05,243.53689241896683,0,11950
527,0.2,0.1,97.63218597963751,0,11481
528,0.2,0.15,61.96733357887559,0,10768
529,0.2,0.2,47.99945228064684,1,10485
530,0.2,0.25,40.26292287274352,6,9945
531,0.2,0.3,34.664021047695286,6,9242
532,0.2,0.35,27.493327667776626,12,9221
533,0.2,0.4,26.11024109496527,20,8920
534,0.2,0.45,26.559261630863713,72,7841
535,0.2,0.5,23.42469899971665,86,7810
536,0.2,0.55,19.441332603027927,52,8001
537,0.2,0.6,18.583854732586182,129,7112
538,0.2,0.65,19.41174352747495,160,6973
539,0.2,0.7,14.719179907501541,94,7425
540,0.2,0.75,14.273260778652904,239,6476
541,0.2,0.8,15.329953228016867,294,6190
542,0.2,0.85,0.10908057959855573,12781,2
543,0.2,0.9,12.53112358560606,209,6347
544,0.2,0.95,14.960638448925025,1188,4296
545,0.2,1.0,11.733067586565324,486,5614
546,0.25,0.01,945.3111970784422,0,12648
547,0.25,0.05,179.69253167315247,0,12178
548,0.25,0.1,96.33421154897701,0,11827
549,0.25,0.15,74.6687733399522,0,11162
550,0.25,0.2,62.14466690914115,0,10680
551,0.25,0.25,36.83124044938469,1,10522
552,0.25,0.3,37.24066608225997,1,9864
553,0.25,0.35,25.264514011194464,1,10034
554,0.25,0.4,25.416728031261748,2,9867
555,0.25,0.45,23.31239567111793,14,9101
556,0.25,0.5,21.69853988454895,34,8545
557,0.25,0.55,22.7551098777596,8,9290
558,0.25,0.6,0.00884480145350052,12855,1
559,0.25,0.65,18.47920320069822,26,8514
560,0.25,0.7,18.00552889141263,27,8334
561,0.25,0.75,14.287033623467677,163,7132
562,0.25,0.8,13.819613615863268,107,7349
563,0.25,0.85,13.852473045932982,102,7137
564,0.25,0.9,12.948869452227461,245,6300
565,0.25,0.95,14.963532350359655,776,5166
566,0.25,1.0,12.527458296199574,103,7156
567,0.3,0.01,937.5551079179761,0,12738
568,0.3,0.05,180.4058157009749,0,12423
569,0.3,0.1,136.53222282262357,0,11814
570,0.3,0.15,61.501898283947895,0,11611
571,0.3,0.2,45.19340877125711,0,11338
572,0.3,0.25,41.60898249087132,1,10888
573,0.3,0.3,38.317855152663654,0,10365
574,0.3,0.35,30.02782498120317,1,10076
575,0.3,0.4,30.987549459695078,5,10254
576,0.3,0.45,22.40063906098045,0,10498
577,0.3,0.5,18.24287391355908,4,9479
578,0.3,0.55,18.30792075565312,12,9066
579,0.3,0.6,16.59994369595147,3,9202
580,0.3,0.65,16.596729985440273,22,8364
581,0.3,0.7,23.861336820162286,9,8926
582,0.3,0.75,0.03669402513306732,12852,1
583,0.3,0.8,11.985038427375565,25,8374
584,0.3,0.85,12.495160929778715,179,6853
585,0.3,0.9,15.137979692836973,26,8281
586,0.3,0.95,9.972804160790009,62,7760
587,0.3,1.0,10.006749172393251,60,7619
588,0.35,0.01,921.9224214864148,0,12847
589,0.35,0.05,177.33488312490138,0,12353
590,0.35,0.1,105.89208053122944,0,12151
591,0.35,0.15,73.30142509176817,0,11679
592,0.35,0.2,52.535052646553,0,11403
593,0.35,0.25,39.942175506834715,0,10867
594,0.35,0.3,48.12492945426773,0,11183
595,0.35,0.35,27.87181927104403,0,11028
596,0.35,0.4,26.707166671831,3,9910
597,0.35,0.45,20.957138809867715,0,10376
598,0.35,0.5,20.61562991902402,1,9795
